frame_index,timestamp_sec,camera_id,session_id,worker_id,pose_detected,posture,trunk_flexion_deg,lumbar_torque_nm,compression_force_n,torso_lever_arm_m,load_lever_arm_m,risk_level,risk_score,is_estimated_model_indicator,disclaimer,left_shoulder_deg,right_shoulder_deg,left_elbow_deg,right_elbow_deg,left_hip_deg,right_hip_deg,left_knee_deg,right_knee_deg
1,0.04,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,15.6,72.7,1866.8,0.07,0.49,LOW,21.4,True,Estimated biomechanical model indicator; not a direct medical measurement.,56.2,38.8,162.6,180.0,87.0,87.0,2.3,2.3
2,0.08,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2171.0,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
3,0.12,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2171.0,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.9,0.9
4,0.16,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,15.5,72.1,1855.4,0.07,0.49,LOW,21.2,True,Estimated biomechanical model indicator; not a direct medical measurement.,56.1,38.7,162.6,180.0,87.2,87.2,0.6,0.6
5,0.2,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2171.0,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
6,0.24,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2169.3,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
7,0.28,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2169.3,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
8,0.32,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2169.3,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
9,0.36,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2169.3,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
10,0.4,camera_03,sess_1789842798_camera_03,W-C03-a_03,True,SQUATTING,19.7,88.3,2169.3,0.09,0.59,MODERATE,26.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,60.3,42.9,162.6,180.0,83.0,83.0,0.6,0.6
